fetched_at_utc,total_listings,seed_listings,matched_from_sources,rows_scanned,sources_ok,readme_updated
2026-06-18T13:36:15Z,1,1,0,5333,vanshb03;SimplifyJobs;zapplyjobs;ambicuity;jobright-ai,false
2026-06-19T15:55:07Z,1,1,0,5320,vanshb03;SimplifyJobs;zapplyjobs;ambicuity;jobright-ai,false
2026-06-20T14:58:16Z,1,1,0,5282,vanshb03;SimplifyJobs;zapplyjobs;ambicuity;jobright-ai,false
2026-06-21T15:06:34Z,1,1,0,5290,vanshb03;SimplifyJobs;zapplyjobs;ambicuity;jobright-ai,false
2026-06-22T17:22:32Z,1,1,0,5386,vanshb03;SimplifyJobs;zapplyjobs;ambicuity;jobright-ai,false
2026-06-23T15:42:35Z,3,1,2,5342,vanshb03;SimplifyJobs;zapplyjobs;ambicuity;jobright-ai,true
2026-06-24T15:28:17Z,3,1,2,5319,vanshb03;SimplifyJobs;zapplyjobs;ambicuity;jobright-ai,true
2026-06-25T15:35:26Z,3,1,2,5282,vanshb03;SimplifyJobs;zapplyjobs;ambicuity;jobright-ai,true
2026-06-26T15:18:50Z,9,1,8,5271,vanshb03;SimplifyJobs;zapplyjobs;ambicuity;jobright-ai,true
2026-06-27T14:20:54Z,9,1,8,5269,vanshb03;SimplifyJobs;zapplyjobs;ambicuity;jobright-ai,true
